,blue_1_gold,blue_1_kills,blue_1_assists,blue_1_deaths,blue_1_win,blue_2_gold,blue_2_kills,blue_2_assists,blue_2_deaths,blue_2_win,blue_3_gold,blue_3_kills,blue_3_assists,blue_3_deaths,blue_3_win,blue_4_gold,blue_4_kills,blue_4_assists,blue_4_deaths,blue_4_win,blue_5_gold,blue_5_kills,blue_5_assists,blue_5_deaths,blue_5_win,red_1_gold,red_1_kills,red_1_assists,red_1_deaths,red_1_win,red_2_gold,red_2_kills,red_2_assists,red_2_deaths,red_2_win,red_3_gold,red_3_kills,red_3_assists,red_3_deaths,red_3_win,red_4_gold,red_4_kills,red_4_assists,red_4_deaths,red_4_win,red_5_gold,red_5_kills,red_5_assists,red_5_deaths,red_5_win,win,teamId,id
0,0.04919860094256262,61,19,21,5,0.037320491004315025,45,33,31,3,0.03529958765086343,14,40,32,3,0.031083734855123068,19,49,30,1,0.0318133343992847,28,18,26,2,0.037491547962326996,41,25,25,3,0.04155869376516157,46,43,25,3,0.03933917280517158,38,31,33,2,0.0452612399386157,54,41,33,2,0.036854060619471024,31,58,30,1,1,100,BR1_2335409713
1,0.04096146712410493,24,27,26,2,0.0321337806052369,22,37,29,3,0.03269543921093665,20,21,34,2,0.036912919207510476,28,30,21,2,0.05433762105710225,42,98,47,3,0.03341651615886307,20,43,26,4,0.030068531891478397,19,21,25,2,0.04144203289982997,41,16,20,4,0.03420385070464413,24,35,17,3,0.03252836072037607,19,59,17,3,1,100,BR1_2328929633
2,0.0273065053970563,10,12,37,1,0.04144558963299798,35,39,23,3,0.03411948131854824,27,22,41,1,0.034799532584619305,25,23,17,1,0.020570220188804396,9,33,31,0,0.03463947283405413,17,17,18,3,0.06085925642085072,53,27,19,3,0.032207781415958446,33,29,29,3,0.031485164072925696,19,46,26,4,0.03601905685655825,38,42,26,3,0,200,BR1_2335668883
3,0.03570245576561233,17,19,13,4,0.042762171816558225,49,45,27,1,0.03194063195199976,19,11,17,2,0.05553423414934817,58,54,57,1,0.023395277194681544,13,65,35,2,0.04405236498465319,45,10,14,4,0.038256959321065764,43,34,20,2,0.034340602823532046,35,30,22,2,0.05357939307784185,54,68,28,3,0.033182517890236476,27,14,31,1,0,100,BR1_2334913227
4,0.035165658786511726,47,32,31,3,0.0351134780664091,33,43,31,4,0.042204086804092766,49,49,25,4,0.02857718752898634,17,79,16,3,0.024704224679874327,6,75,19,3,0.03198426516277948,13,23,22,3,0.05458224568015263,29,92,28,4,0.03651316821846886,51,40,36,3,0.038259058081443566,27,32,17,4,0.02207552974868182,5,52,28,3,1,200,BR1_2334932144
5,0.03228386124650071,16,22,25,2,0.06981838165809875,71,30,35,3,0.035214276909167126,45,73,51,2,0.04758151100532265,63,31,28,3,0.02779704839630654,13,71,38,1,0.04569045428665884,39,80,27,5,0.04474030863488305,56,66,33,5,0.035525366990123174,49,33,34,1,0.029485596487531636,12,13,26,1,0.03545131586429447,18,22,26,2,1,200,BR1_2333155360
6,0.04623586552443642,86,19,31,5,0.03576212400570515,27,14,16,3,0.03309903084560376,30,43,24,4,0.031607974736277515,16,17,24,1,0.03986880339458111,42,51,33,4,0.0385419157635747,20,20,23,3,0.031804571444323845,23,26,14,3,0.04950234396355946,47,36,16,3,0.034048587290617285,23,41,19,3,0.029487087790108203,31,72,36,3,0,200,BR1_2332422592
7,0.042238247583343026,60,75,45,5,0.038013922290928065,49,33,21,3,0.03793243684497345,33,37,28,3,0.03739175011471745,27,52,18,5,0.025108419240895553,12,70,26,1,0.03561201871948851,35,50,27,4,0.039061781453643474,42,42,12,4,0.026818910398436598,20,30,9,1,0.04064307360026964,42,16,19,2,0.026256098280791083,23,68,25,3,0,200,BR1_2334319388
8,0.03867775555306436,41,25,34,3,0.043100136576193285,54,60,22,1,0.03531814852043639,41,39,26,4,0.03723925886806831,33,33,17,4,0.025156967709652287,15,63,30,2,0.035866187563117956,39,47,17,3,0.032016031581375316,20,18,24,1,0.03702786206157244,48,25,33,2,0.0328381433734882,19,24,23,2,0.022385880202421823,7,66,24,2,1,200,BR1_2333295174
9,0.03813347751549549,36,35,27,2,0.03599899564313423,36,39,37,2,0.039959002122027854,25,44,38,3,0.0320543392985741,27,27,29,1,0.033031405637310066,31,26,35,1,0.032142887201017406,18,47,32,1,0.036477336723404925,41,50,20,3,0.033843546264772914,31,30,41,2,0.03330729197872091,31,24,45,2,0.027082570273728474,15,36,23,2,0,200,BR1_2331895277
10,0.06827977112715389,53,33,45,3,0.031740492041164144,17,16,14,3,0.031830590408670124,21,47,18,2,0.03222502469098435,24,52,41,3,0.03796144865757206,48,64,25,3,0.030823197519345594,21,25,35,2,0.03515850805895895,25,32,29,1,0.07243990273923887,99,115,46,4,0.034277414381023295,37,36,26,2,0.0400140334453449,45,39,38,4,1,200,BR1_2331462838
11,0.0515016230893449,54,31,52,1,0.03750456781389875,55,42,32,2,0.0735927804768121,66,33,48,3,0.04326941544239559,38,54,29,4,0.030612121353590163,23,69,34,3,0.05411201798561045,69,49,49,2,0.03356504137679574,37,25,29,1,0.039618483298409585,33,27,25,2,0.04360624313505838,46,40,27,3,0.025847734182979334,19,74,36,3,1,200,BR1_2331359025
12,0.04567368076172386,44,23,44,2,0.04850274129458233,74,76,47,5,0.04523804332545008,40,20,33,1,0.04017884309695377,37,85,28,4,0.03304046679004312,18,42,29,4,0.048484060836915074,42,81,49,4,0.032122629519432885,27,17,32,0,0.041522207544845965,52,49,35,3,0.04366651315338706,43,48,20,3,0.060908813753024454,58,107,48,4,1,200,BR1_2330585969
13,0.03694089098137536,31,57,29,4,0.03907987182663761,51,40,29,5,0.051580702619305065,33,23,20,3,0.02546958771297634,13,31,38,1,0.024349426312058883,16,83,39,2,0.03245267522708229,35,38,36,3,0.03424072834446849,36,17,31,0,0.03181148923330082,28,24,24,3,0.03339338592249984,41,35,52,2,0.04801245772580321,51,112,34,4,0,200,BR1_2328994348
14,0.0315996391534877,21,12,34,1,0.03056561627823529,14,30,21,3,0.03278322113161906,22,35,24,3,0.030624641397181723,19,30,22,2,0.03253874368414277,32,33,31,1,0.03718400394327814,30,30,18,4,0.03652717213886357,49,34,32,1,0.03591060178878521,38,21,28,3,0.0385662071399289,43,35,37,4,0.028169508258287852,17,63,34,3,0,200,BR1_2329032764
15,0.03897085453955512,54,26,36,3,0.03509996031925103,32,34,32,2,0.032207781415958446,33,29,29,3,0.033466764359312,14,32,21,3,0.023317791564246834,9,47,18,2,0.032727474790807204,24,38,26,4,0.034393632358889925,29,30,24,2,0.03883288223212553,41,33,23,3,0.040609408498575326,48,44,34,3,0.053232277940620756,52,111,43,4,0,200,BR1_2334502258
16,0.04296223660818209,39,25,17,4,0.03741366278997313,34,18,37,2,0.03154424029659239,21,30,28,2,0.03693936625239669,35,28,24,2,0.032173878626829064,17,73,25,3,0.03191130071126313,24,28,26,2,0.030990297375465988,26,55,33,4,0.033478532205951664,17,51,22,4,0.033309302172129,30,33,22,3,0.02169409455591942,6,40,17,1,1,200,BR1_2333466165
